"","Country","Country.Code","year","Region","IncomeGroup","population","rural.population","hiv.cases","san.access","motor.vehicles","gas.price","co2.emission","mobile.users","internet.users"
"25","Aruba","ABW",1984,"Latin America & Caribbean","High income",62831,31158,NA,NA,NA,NA,NA,0,NA
"26","Aruba","ABW",1985,"Latin America & Caribbean","High income",63028,31265,NA,NA,NA,NA,NA,0,NA
"27","Aruba","ABW",1986,"Latin America & Caribbean","High income",62644,31084,NA,NA,NA,NA,179.683,0,NA
"28","Aruba","ABW",1987,"Latin America & Caribbean","High income",61835,30692,NA,NA,NA,NA,447.374,0,NA
"29","Aruba","ABW",1988,"Latin America & Caribbean","High income",61077,30325,NA,NA,NA,NA,612.389,0,NA
"30","Aruba","ABW",1989,"Latin America & Caribbean","High income",61032,30312,NA,NA,NA,NA,649.059,0,NA
"31","Aruba","ABW",1990,"Latin America & Caribbean","High income",62148,30876,NA,61283,NA,NA,1840.834,0,0
"32","Aruba","ABW",1991,"Latin America & Caribbean","High income",64623,32307,NA,NA,NA,NA,1928.842,0,NA
"33","Aruba","ABW",1992,"Latin America & Caribbean","High income",68235,34325,NA,NA,NA,NA,1723.49,20,NA
"34","Aruba","ABW",1993,"Latin America & Caribbean","High income",72498,36695,NA,NA,NA,NA,1771.161,NA,NA
"35","Aruba","ABW",1994,"Latin America & Caribbean","High income",76700,39061,NA,NA,NA,NA,1763.827,NA,NA
"36","Aruba","ABW",1995,"Latin America & Caribbean","High income",80326,41158,NA,79035,NA,NA,1782.162,1718,NA
"37","Aruba","ABW",1996,"Latin America & Caribbean","High income",83195,42971,NA,NA,NA,NA,1811.498,3000,2303
"38","Aruba","ABW",1997,"Latin America & Caribbean","High income",85447,44486,NA,NA,NA,NA,1851.835,3402,NA
"39","Aruba","ABW",1998,"Latin America & Caribbean","High income",87276,45797,NA,NA,NA,NA,1668.485,5380,NA
"40","Aruba","ABW",1999,"Latin America & Caribbean","High income",89004,47070,NA,NA,NA,NA,1683.153,12000,4011
"41","Aruba","ABW",2000,"Latin America & Caribbean","High income",90858,48425,NA,89201,NA,NA,2233.203,15000,14031
"42","Aruba","ABW",2001,"Latin America & Caribbean","High income",92894,49529,NA,NA,NA,NA,2236.87,53000,15885
"43","Aruba","ABW",2002,"Latin America & Caribbean","High income",94995,50669,NA,NA,NA,NA,2255.205,61800,17859
"44","Aruba","ABW",2003,"Latin America & Caribbean","High income",97015,51766,NA,NA,NA,NA,2255.205,69952,20179
"45","Aruba","ABW",2004,"Latin America & Caribbean","High income",98742,52708,NA,NA,NA,NA,2258.872,98389,22711
"46","Aruba","ABW",2005,"Latin America & Caribbean","High income",100031,53417,NA,97991,NA,NA,2273.54,103417,25408
"47","Aruba","ABW",2006,"Latin America & Caribbean","High income",100830,53808,NA,NA,NA,NA,2273.54,109030,28232
"48","Aruba","ABW",2007,"Latin America & Caribbean","High income",101219,53979,NA,NA,NA,NA,2357.881,113586,31277
"49","Aruba","ABW",2008,"Latin America & Caribbean","High income",101344,54010,NA,NA,NA,NA,2288.208,120806,52699
"50","Aruba","ABW",2009,"Latin America & Caribbean","High income",101418,54014,NA,NA,NA,NA,2295.542,128000,58822
"51","Aruba","ABW",2010,"Latin America & Caribbean","High income",101597,54073,NA,99306,NA,NA,2321.211,131800,62990
"52","Aruba","ABW",2011,"Latin America & Caribbean","High income",101932,54155,NA,NA,NA,NA,NA,NA,70333
"53","Aruba","ABW",2012,"Latin America & Caribbean","High income",102384,54299,NA,99987,NA,NA,NA,135000,75764
"54","Afghanistan","AFG",1960,"South Asia","Low income",8774440,8073099,NA,NA,NA,NA,414.371,0,NA
"55","Afghanistan","AFG",1961,"South Asia","Low income",8953544,8213534,NA,NA,NA,NA,491.378,NA,NA
"56","Afghanistan","AFG",1962,"South Asia","Low income",9141783,8361349,NA,NA,NA,NA,689.396,NA,NA
"57","Afghanistan","AFG",1963,"South Asia","Low income",9339507,8516790,NA,NA,NA,NA,707.731,NA,NA
"58","Afghanistan","AFG",1964,"South Asia","Low income",9547131,8680156,NA,NA,NA,NA,839.743,NA,NA
"59","Afghanistan","AFG",1965,"South Asia","Low income",9765015,8851693,NA,NA,NA,NA,1008.425,0,NA
"60","Afghanistan","AFG",1966,"South Asia","Low income",9990125,9022222,NA,NA,NA,NA,1092.766,NA,NA
"61","Afghanistan","AFG",1967,"South Asia","Low income",10221902,9197238,NA,NA,NA,NA,1283.45,NA,NA
"62","Afghanistan","AFG",1968,"South Asia","Low income",10465770,9381537,NA,NA,NA,NA,1224.778,NA,NA
"63","Afghanistan","AFG",1969,"South Asia","Low income",10729191,9581661,NA,NA,NA,NA,942.419,NA,NA
"64","Afghanistan","AFG",1970,"South Asia","Low income",11015621,9800488,NA,NA,NA,NA,1672.152,0,NA
"65","Afghanistan","AFG",1971,"South Asia","Low income",11323446,10023469,NA,NA,NA,NA,1895.839,NA,NA
"66","Afghanistan","AFG",1972,"South Asia","Low income",11644377,10255226,NA,NA,NA,NA,1532.806,NA,NA
"67","Afghanistan","AFG",1973,"South Asia","Low income",11966352,10485013,NA,NA,NA,NA,1639.149,NA,NA
"68","Afghanistan","AFG",1974,"South Asia","Low income",12273589,10699059,NA,NA,NA,NA,1917.841,NA,NA
"69","Afghanistan","AFG",1975,"South Asia","Low income",12551790,10885163,NA,NA,NA,NA,2126.86,0,NA
"70","Afghanistan","AFG",1976,"South Asia","Low income",12806810,11044926,NA,NA,NA,NA,1987.514,0,NA
"71","Afghanistan","AFG",1977,"South Asia","Low income",13034460,11178770,NA,NA,NA,NA,2390.884,0,NA
"72","Afghanistan","AFG",1978,"South Asia","Low income",13199597,11257118,NA,NA,NA,NA,2159.863,0,NA
"73","Afghanistan","AFG",1979,"South Asia","Low income",13257128,11242628,NA,NA,NA,NA,2240.537,0,NA
"74","Afghanistan","AFG",1980,"South Asia","Low income",13180431,11114398,NA,NA,NA,NA,1760.16,0,NA
"75","Afghanistan","AFG",1981,"South Asia","Low income",12963788,10899512,NA,NA,NA,NA,1983.847,0,NA
"76","Afghanistan","AFG",1982,"South Asia","Low income",12634494,10591269,NA,NA,NA,NA,2101.191,0,NA
"77","Afghanistan","AFG",1983,"South Asia","Low income",12241928,10231779,NA,NA,NA,NA,2522.896,0,NA
"78","Afghanistan","AFG",1984,"South Asia","Low income",11854205,9878275,NA,NA,NA,NA,2830.924,0,NA
"79","Afghanistan","AFG",1985,"South Asia","Low income",11528977,9578620,NA,NA,NA,NA,3509.319,0,NA
"80","Afghanistan","AFG",1986,"South Asia","Low income",11262439,9329241,NA,NA,NA,NA,3142.619,0,NA
"81","Afghanistan","AFG",1987,"South Asia","Low income",11063107,9136688,NA,NA,NA,NA,3124.284,0,NA
"82","Afghanistan","AFG",1988,"South Asia","Low income",11013345,9068278,NA,NA,NA,NA,2867.594,0,NA
"83","Afghanistan","AFG",1989,"South Asia","Low income",11215323,9206771,NA,NA,NA,NA,2775.919,0,NA
"84","Afghanistan","AFG",1990,"South Asia","Low income",11731193,9601160,11731,NA,NA,NA,2676.91,0,0
"85","Afghanistan","AFG",1991,"South Asia","Low income",12612043,10292209,12612,NA,NA,NA,2493.56,0,NA
"86","Afghanistan","AFG",1992,"South Asia","Low income",13811876,11238641,13812,NA,NA,NA,1426.463,0,NA
"87","Afghanistan","AFG",1993,"South Asia","Low income",15175325,12312136,15175,NA,NA,NA,1375.125,0,NA
"88","Afghanistan","AFG",1994,"South Asia","Low income",16485018,13335687,16485,NA,NA,NA,1320.12,0,NA
"89","Afghanistan","AFG",1995,"South Asia","Low income",17586073,14184751,17586,3691563,NA,NA,1268.782,0,NA
"90","Afghanistan","AFG",1996,"South Asia","Low income",18415307,14807859,18415,NA,NA,NA,1199.109,0,NA
"91","Afghanistan","AFG",1997,"South Asia","Low income",19021226,15247833,19021,NA,NA,NA,1114.768,0,NA
"92","Afghanistan","AFG",1998,"South Asia","Low income",19496836,15580663,19497,NA,NA,NA,1056.096,0,NA
"93","Afghanistan","AFG",1999,"South Asia","Low income",19987071,15922780,19987,NA,NA,NA,832.409,0,NA
"94","Afghanistan","AFG",2000,"South Asia","Low income",20595360,16356217,20595,4774016,64747,NA,781.071,0,NA
"95","Afghanistan","AFG",2001,"South Asia","Low income",21347782,16898306,21348,NA,75195,NA,645.392,0,1008
"96","Afghanistan","AFG",2002,"South Asia","Low income",22202806,17517437,22203,NA,122751,0.34,359.366,25000,1013
"97","Afghanistan","AFG",2003,"South Asia","Low income",23116142,18177979,23116,NA,239706,NA,583.053,2e+05,20317
"98","Afghanistan","AFG",2004,"South Asia","Low income",24018682,18825315,24019,NA,265575,0.53,733.4,6e+05,25414
"99","Afghanistan","AFG",2005,"South Asia","Low income",24860855,19420803,24861,6340284,336949,NA,1015.759,1200000,304334
"100","Afghanistan","AFG",2006,"South Asia","Low income",25631282,19953082,25631,NA,400191,0.68,1338.455,2520366,540083
"101","Afghanistan","AFG",2007,"South Asia","Low income",26349243,20440478,26349,NA,592519,NA,1991.181,4668096,500636
"102","Afghanistan","AFG",2008,"South Asia","Low income",27032197,20896916,27032,NA,648782,1.05,3927.357,7898909,497392
"103","Afghanistan","AFG",2009,"South Asia","Low income",27708187,21344281,27708,NA,723901,NA,6523.593,10500000,983641
"104","Afghanistan","AFG",2010,"South Asia","Low income",28397812,21798444,28398,7942667,794372,1.15,8236.082,1.3e+07,1135912
"105","Afghanistan","AFG",2011,"South Asia","Low income",29105480,22251954,29105,NA,852406,NA,NA,17558265,1455274
"106","Afghanistan","AFG",2012,"South Asia","Low income",29824536,22709774,29825,8650207,NA,1.28,NA,1.8e+07,1626793
"107","Angola","AGO",1960,"Sub-Saharan Africa","Upper middle income",4965988,4447787,NA,NA,NA,NA,550.05,0,NA
"108","Angola","AGO",1961,"Sub-Saharan Africa","Upper middle income",5056688,4508098,NA,NA,NA,NA,454.708,NA,NA
"109","Angola","AGO",1962,"Sub-Saharan Africa","Upper middle income",5150076,4570044,NA,NA,NA,NA,1180.774,NA,NA
"110","Angola","AGO",1963,"Sub-Saharan Africa","Upper middle income",5245015,4632586,NA,NA,NA,NA,1151.438,NA,NA
"111","Angola","AGO",1964,"Sub-Saharan Africa","Upper middle income",5339893,4694289,NA,NA,NA,NA,1224.778,NA,NA
"112","Angola","AGO",1965,"Sub-Saharan Africa","Upper middle income",5433841,4754394,NA,NA,NA,NA,1188.108,0,NA
"113","Angola","AGO",1966,"Sub-Saharan Africa","Upper middle income",5526653,4808487,NA,NA,NA,NA,1554.808,NA,NA
"114","Angola","AGO",1967,"Sub-Saharan Africa","Upper middle income",5619643,4861823,NA,NA,NA,NA,993.757,NA,NA
"115","Angola","AGO",1968,"Sub-Saharan Africa","Upper middle income",5715372,4916603,NA,NA,NA,NA,1672.152,NA,NA
"116","Angola","AGO",1969,"Sub-Saharan Africa","Upper middle income",5817283,4975732,NA,NA,NA,NA,2786.92,NA,NA
"117","Angola","AGO",1970,"Sub-Saharan Africa","Upper middle income",5928087,5041423,NA,NA,NA,NA,3582.659,0,NA
"118","Angola","AGO",1971,"Sub-Saharan Africa","Upper middle income",6049214,5093971,NA,NA,NA,NA,3410.31,NA,NA
"119","Angola","AGO",1972,"Sub-Saharan Africa","Upper middle income",6180863,5153270,NA,NA,NA,NA,4506.743,NA,NA
"120","Angola","AGO",1973,"Sub-Saharan Africa","Upper middle income",6323057,5219077,NA,NA,NA,NA,4880.777,NA,NA
"121","Angola","AGO",1974,"Sub-Saharan Africa","Upper middle income",6475333,5290749,NA,NA,NA,NA,4873.443,NA,NA
"122","Angola","AGO",1975,"Sub-Saharan Africa","Upper middle income",6637628,5367983,NA,NA,NA,NA,4415.068,0,NA
"123","Angola","AGO",1976,"Sub-Saharan Africa","Upper middle income",6808733,5435956,NA,NA,NA,NA,3285.632,0,NA
"124","Angola","AGO",1977,"Sub-Saharan Africa","Upper middle income",6989550,5508045,NA,NA,NA,NA,3534.988,0,NA
"125","Angola","AGO",1978,"Sub-Saharan Africa","Upper middle income",7184444,5587342,NA,NA,NA,NA,5412.492,0,NA
"126","Angola","AGO",1979,"Sub-Saharan Africa","Upper middle income",7399204,5677853,NA,NA,NA,NA,5504.167,0,NA
"127","Angola","AGO",1980,"Sub-Saharan Africa","Upper middle income",7637141,5781468,NA,NA,NA,NA,5346.486,0,NA
"128","Angola","AGO",1981,"Sub-Saharan Africa","Upper middle income",7901870,5886419,NA,NA,NA,NA,5280.48,0,NA
"129","Angola","AGO",1982,"Sub-Saharan Africa","Upper middle income",8190093,6002192,NA,NA,NA,NA,4649.756,0,NA
"130","Angola","AGO",1983,"Sub-Saharan Africa","Upper middle income",8489864,6119324,NA,NA,NA,NA,5115.465,0,NA
"131","Angola","AGO",1984,"Sub-Saharan Africa","Upper middle income",8784753,6225754,NA,NA,NA,NA,5009.122,0,NA
"132","Angola","AGO",1985,"Sub-Saharan Africa","Upper middle income",9063646,6313917,NA,NA,NA,NA,4701.094,0,NA
"133","Angola","AGO",1986,"Sub-Saharan Africa","Upper middle income",9320678,6366098,NA,NA,NA,NA,4660.757,0,NA
"134","Angola","AGO",1987,"Sub-Saharan Africa","Upper middle income",9561022,6400110,NA,NA,NA,NA,5815.862,0,NA
"135","Angola","AGO",1988,"Sub-Saharan Africa","Upper middle income",9798055,6425408,NA,NA,NA,NA,5130.133,0,NA
"136","Angola","AGO",1989,"Sub-Saharan Africa","Upper middle income",10051133,6454556,NA,NA,NA,NA,5009.122,0,NA
"137","Angola","AGO",1990,"Sub-Saharan Africa","Upper middle income",10333844,6495441,62003,3013980,NA,NA,4429.736,0,0
"138","Angola","AGO",1991,"Sub-Saharan Africa","Upper middle income",10652727,6550064,74569,NA,NA,NA,4367.397,0,NA
"139","Angola","AGO",1992,"Sub-Saharan Africa","Upper middle income",11002758,6614682,99025,NA,NA,NA,4418.735,0,NA
"140","Angola","AGO",1993,"Sub-Saharan Africa","Upper middle income",11372156,6681096,113722,NA,NA,NA,5801.194,1100,NA
"141","Angola","AGO",1994,"Sub-Saharan Africa","Upper middle income",11743432,6738475,129178,NA,NA,NA,3890.687,1824,NA
"142","Angola","AGO",1995,"Sub-Saharan Africa","Upper middle income",12104952,6780226,157364,4194311,NA,NA,11012.001,1994,NA
"143","Angola","AGO",1996,"Sub-Saharan Africa","Upper middle income",12451945,6850089,174327,NA,NA,NA,10491.287,3298,97
"144","Angola","AGO",1997,"Sub-Saharan Africa","Upper middle income",12791388,6908936,191871,NA,NA,NA,7381.671,7052,726
"145","Angola","AGO",1998,"Sub-Saharan Africa","Upper middle income",13137542,6964553,210201,NA,NA,0.38,7308.331,9820,2424
"146","Angola","AGO",1999,"Sub-Saharan Africa","Upper middle income",13510616,7027250,229680,NA,NA,NA,9156.499,24000,9723
"147","Angola","AGO",2000,"Sub-Saharan Africa","Upper middle income",13924930,7103525,236724,5873439,NA,0.3,9541.534,25806,14628
"148","Angola","AGO",2001,"Sub-Saharan Africa","Upper middle income",14385283,7195777,258935,NA,NA,NA,9732.218,75000,19566
"149","Angola","AGO",2002,"Sub-Saharan Africa","Upper middle income",14886574,7298977,282845,NA,NA,0.19,12665.818,140000,40250
"150","Angola","AGO",2003,"Sub-Saharan Africa","Upper middle income",15421075,7408192,293000,NA,NA,NA,9064.824,350000,57163
"151","Angola","AGO",2004,"Sub-Saharan Africa","Upper middle income",15976715,7516757,319534,NA,NA,0.39,18793.375,740000,74262
"152","Angola","AGO",2005,"Sub-Saharan Africa","Upper middle income",16544376,7619843,330888,8241570,NA,NA,19156.408,1611118,189163
"153","Angola","AGO",2006,"Sub-Saharan Africa","Upper middle income",17122409,7734158,342448,NA,NA,0.5,22266.024,3054620,326635
"154","Angola","AGO",2007,"Sub-Saharan Africa","Upper middle income",17712824,7843699,371969,NA,678238,NA,25151.953,4961536,566810
"155","Angola","AGO",2008,"Sub-Saharan Africa","Upper middle income",18314441,7947625,384603,NA,NA,0.53,26596.751,6773356,842464
"156","Angola","AGO",2009,"Sub-Saharan Africa","Upper middle income",18926650,8045378,416386,NA,NA,NA,27836.197,8109421,1135599
"157","Angola","AGO",2010,"Sub-Saharan Africa","Upper middle income",19549124,8136541,430081,11189781,NA,0.65,30417.765,8909200,1954912
"158","Angola","AGO",2011,"Sub-Saharan Africa","Upper middle income",20180490,8245224,464151,NA,NA,NA,NA,9491000,2981869
"159","Angola","AGO",2012,"Sub-Saharan Africa","Upper middle income",20820525,8347740,478872,12518831,NA,0.63,NA,9801000,3526416
"160","Albania","ALB",1960,"Europe & Central Asia","Upper middle income",1618829,1121768,NA,NA,NA,NA,2024.184,0,NA
"161","Albania","ALB",1961,"Europe & Central Asia","Upper middle income",1668531,1154457,NA,NA,NA,NA,2280.874,NA,NA
"162","Albania","ALB",1962,"Europe & Central Asia","Upper middle income",1719181,1187696,NA,NA,NA,NA,2464.224,NA,NA
"163","Albania","ALB",1963,"Europe & Central Asia","Upper middle income",1770530,1221312,NA,NA,NA,NA,2082.856,NA,NA
"164","Albania","ALB",1964,"Europe & Central Asia","Upper middle income",1822299,1255108,NA,NA,NA,NA,2016.85,NA,NA
"165","Albania","ALB",1965,"Europe & Central Asia","Upper middle income",1874302,1288957,NA,NA,NA,NA,2174.531,0,NA
"166","Albania","ALB",1966,"Europe & Central Asia","Upper middle income",1926382,1322808,NA,NA,NA,NA,2552.232,NA,NA
"167","Albania","ALB",1967,"Europe & Central Asia","Upper middle income",1978582,1356635,NA,NA,NA,NA,2680.577,NA,NA
"168","Albania","ALB",1968,"Europe & Central Asia","Upper middle income",2031167,1390618,NA,NA,NA,NA,3072.946,NA,NA
"169","Albania","ALB",1969,"Europe & Central Asia","Upper middle income",2084532,1425028,NA,NA,NA,NA,3245.295,NA,NA
"170","Albania","ALB",1970,"Europe & Central Asia","Upper middle income",2138966,1460058,NA,NA,NA,NA,3744.007,0,NA
"171","Albania","ALB",1971,"Europe & Central Asia","Upper middle income",2194588,1493759,NA,NA,NA,NA,4352.729,NA,NA
"172","Albania","ALB",1972,"Europe & Central Asia","Upper middle income",2251320,1527998,NA,NA,NA,NA,5643.513,NA,NA
"173","Albania","ALB",1973,"Europe & Central Asia","Upper middle income",2309029,1562677,NA,NA,NA,NA,5291.481,NA,NA
"174","Albania","ALB",1974,"Europe & Central Asia","Upper middle income",2367499,1597645,NA,NA,NA,NA,4345.395,NA,NA
"175","Albania","ALB",1975,"Europe & Central Asia","Upper middle income",2426592,1632805,NA,NA,NA,NA,4594.751,0,NA
"176","Albania","ALB",1976,"Europe & Central Asia","Upper middle income",2486256,1667731,NA,NA,NA,NA,4950.45,0,NA
"177","Albania","ALB",1977,"Europe & Central Asia","Upper middle income",2546617,1702872,NA,NA,NA,NA,5720.52,0,NA
"178","Albania","ALB",1978,"Europe & Central Asia","Upper middle income",2607936,1738398,NA,NA,NA,NA,6494.257,0,NA
"179","Albania","ALB",1979,"Europe & Central Asia","Upper middle income",2670572,1774542,NA,NA,NA,NA,7587.023,0,NA
"180","Albania","ALB",1980,"Europe & Central Asia","Upper middle income",2734776,1811461,NA,NA,NA,NA,5170.47,0,NA
"181","Albania","ALB",1981,"Europe & Central Asia","Upper middle income",2799345,1846834,NA,NA,NA,NA,7341.334,0,NA
"182","Albania","ALB",1982,"Europe & Central Asia","Upper middle income",2863902,1881859,NA,NA,NA,NA,7308.331,0,NA
"183","Albania","ALB",1983,"Europe & Central Asia","Upper middle income",2930351,1917780,NA,NA,NA,NA,7631.027,0,NA
"184","Albania","ALB",1984,"Europe & Central Asia","Upper middle income",3001325,1956300,NA,NA,NA,NA,7825.378,0,NA
"185","Albania","ALB",1985,"Europe & Central Asia","Upper middle income",3077930,1998100,NA,NA,NA,NA,7880.383,0,NA
"186","Albania","ALB",1986,"Europe & Central Asia","Upper middle income",3162225,2044315,NA,NA,NA,NA,8056.399,0,NA
"187","Albania","ALB",1987,"Europe & Central Asia","Upper middle income",3251512,2093291,NA,NA,NA,NA,7444.01,0,NA
"188","Albania","ALB",1988,"Europe & Central Asia","Upper middle income",3336434,2138988,NA,NA,NA,NA,7326.666,0,NA
"189","Albania","ALB",1989,"Europe & Central Asia","Upper middle income",3404408,2173408,NA,NA,NA,NA,8984.15,0,NA
"190","Albania","ALB",1990,"Europe & Central Asia","Upper middle income",3446882,2191252,NA,2737821,NA,NA,7488.014,0,0
"191","Albania","ALB",1991,"Europe & Central Asia","Upper middle income",3459763,2182259,NA,NA,NA,NA,3971.361,0,NA
"192","Albania","ALB",1992,"Europe & Central Asia","Upper middle income",3446858,2157002,NA,NA,NA,NA,2387.217,0,NA
"193","Albania","ALB",1993,"Europe & Central Asia","Upper middle income",3417280,2121523,NA,NA,NA,NA,2343.213,0,NA
"194","Albania","ALB",1994,"Europe & Central Asia","Upper middle income",3384367,2084283,NA,NA,NA,NA,1928.842,0,NA
"195","Albania","ALB",1995,"Europe & Central Asia","Upper middle income",3357858,2051282,NA,2705337,NA,NA,2086.523,0,375
"196","Albania","ALB",1996,"Europe & Central Asia","Upper middle income",3341043,2022099,NA,NA,NA,NA,2016.85,2300,1076
"197","Albania","ALB",1997,"Europe & Central Asia","Upper middle income",3331317,1997358,NA,NA,NA,NA,1543.807,3300,1619
"198","Albania","ALB",1998,"Europe & Central Asia","Upper middle income",3325456,1975022,NA,NA,NA,0.86,1752.826,5600,2162
"199","Albania","ALB",1999,"Europe & Central Asia","Upper middle income",3317941,1951779,NA,NA,NA,NA,2984.938,11008,2702
"200","Albania","ALB",2000,"Europe & Central Asia","Upper middle income",3304948,1925430,NA,2770268,190337,0.57,3021.608,29791,3771
"201","Albania","ALB",2001,"Europe & Central Asia","Upper middle income",3286084,1881165,NA,NA,220683,NA,3223.293,392650,10706
"202","Albania","ALB",2002,"Europe & Central Asia","Upper middle income",3263596,1835244,NA,NA,236799,0.8,3751.341,851000,12731
"203","Albania","ALB",2003,"Europe & Central Asia","Upper middle income",3239385,1788827,NA,NA,271110,NA,4294.057,1100000,31484
"204","Albania","ALB",2004,"Europe & Central Asia","Upper middle income",3216197,1743455,NA,NA,277660,1.23,4165.712,1259590,77844
"205","Albania","ALB",2005,"Europe & Central Asia","Upper middle income",3196130,1700213,NA,2786079,282283,NA,4253.72,1530244,193171
"206","Albania","ALB",2006,"Europe & Central Asia","Upper middle income",3179573,1656316,NA,NA,310954,1.44,3865.018,1909885,305557
"207","Albania","ALB",2007,"Europe & Central Asia","Upper middle income",3166222,1614419,NA,NA,335402,NA,4055.702,2322436,476077
"208","Albania","ALB",2008,"Europe & Central Asia","Upper middle income",3156608,1574680,NA,NA,356928,1.36,4129.042,1859632,753167
"209","Albania","ALB",2009,"Europe & Central Asia","Upper middle income",3151185,1537198,NA,NA,372201,NA,3879.686,2463741,1298288
"210","Albania","ALB",2010,"Europe & Central Asia","Upper middle income",3150143,1501925,NA,2839695,381515,1.46,4283.056,2692372,1417564
"211","Albania","ALB",2011,"Europe & Central Asia","Upper middle income",3153883,1470195,NA,NA,372378,NA,NA,3100000,1545403
"212","Albania","ALB",2012,"Europe & Central Asia","Upper middle income",3162083,1440417,NA,2883988,NA,1.81,NA,3500000,1728267
"213","Andorra","AND",1960,"Europe & Central Asia","High income",13414,5574,NA,NA,NA,NA,NA,0,NA
"214","Andorra","AND",1961,"Europe & Central Asia","High income",14376,5628,NA,NA,NA,NA,NA,NA,NA
"215","Andorra","AND",1962,"Europe & Central Asia","High income",15376,5651,NA,NA,NA,NA,NA,NA,NA
"216","Andorra","AND",1963,"Europe & Central Asia","High income",16410,5637,NA,NA,NA,NA,NA,NA,NA
"217","Andorra","AND",1964,"Europe & Central Asia","High income",17470,5582,NA,NA,NA,NA,NA,NA,NA
"218","Andorra","AND",1965,"Europe & Central Asia","High income",18551,5483,NA,NA,NA,NA,NA,0,NA
"219","Andorra","AND",1966,"Europe & Central Asia","High income",19646,5425,NA,NA,NA,NA,NA,NA,NA
"220","Andorra","AND",1967,"Europe & Central Asia","High income",20755,5328,NA,NA,NA,NA,NA,NA,NA
"221","Andorra","AND",1968,"Europe & Central Asia","High income",21888,5194,NA,NA,NA,NA,NA,NA,NA
"222","Andorra","AND",1969,"Europe & Central Asia","High income",23061,5024,NA,NA,NA,NA,NA,NA,NA
"223","Andorra","AND",1970,"Europe & Central Asia","High income",24279,4818,NA,NA,NA,NA,NA,0,NA
"224","Andorra","AND",1971,"Europe & Central Asia","High income",25560,4710,NA,NA,NA,NA,NA,NA,NA
"225","Andorra","AND",1972,"Europe & Central Asia","High income",26892,4573,NA,NA,NA,NA,NA,NA,NA
"226","Andorra","AND",1973,"Europe & Central Asia","High income",28231,4400,NA,NA,NA,NA,NA,NA,NA
"227","Andorra","AND",1974,"Europe & Central Asia","High income",29514,4181,NA,NA,NA,NA,NA,NA,NA
"228","Andorra","AND",1975,"Europe & Central Asia","High income",30706,3914,NA,NA,NA,NA,NA,0,NA
"229","Andorra","AND",1976,"Europe & Central Asia","High income",31781,3746,NA,NA,NA,NA,NA,0,NA
