"","ID","gender","age","classification","name_letters","happy","concerts","hair_color","own_shoes","greek","live_campus","roomates","austin","birth_month","commute","car","sport"
"64",64,"Female",19,"Sophomore",6,95,3,"brown",30,"no","no",1,10,11,"walk","yes","yes"
"65",65,"Female",33,"Junior",6,80,0,"black",23,"no","no",0,10,6,"drive by myself","yes","no"
"66",66,"Female",19,"Sophomore",6,80,6,"brown",25,"no","no",3,9,8,"bus","no","no"
"67",67,"Male",20,"Junior",7,90,0,"brown",6,"no","no",1,7,6,"drive by myself","yes","no"
"68",68,"Female",19,"Sophomore",5,89,0,"brown",20,"no","no",4,8,1,"drive by myself","yes","no"
"69",69,"Female",20,"Sophomore",6,90,0,"black",25,"no","no",0,10,11,"other","yes","no"
"70",70,"Female",17,"Freshman",6,100,3,"brown",20,"no","no",4,10,3,"walk","no","no"
"71",71,"Female",19,"Freshman",3,60,8,"brown",7,"no","yes",1,5,1,"walk","no","no"
"72",72,"Female",18,"Freshman",5,90,2,"brown",10,"no","yes",1,8,6,"walk","no","no"
"73",73,"Female",20,"Junior",6,85,2,"brown",35,"no","no",2,8,12,"walk","no","no"
"74",74,"Female",19,"Sophomore",3,90,0,"black",10,"yes","no",1,9,8,"walk","no","no"
"75",75,"Male",18,"Freshman",5,20,0,"black",5,"no","no",3,6,12,"bus","no","no"
"76",76,"Female",18,"Freshman",5,80,2,"brown",20,"yes","no",3,8,4,"walk","no","no"
"77",77,"Female",18,"Freshman",6,75,2,"brown",50,"yes","no",1,8,5,"walk","no","no"
"78",78,"Female",18,"Freshman",5,65,0,"brown",10,"no","yes",1,8,11,"walk","no","no"
"79",79,"Female",19,"Sophomore",5,90,0,"brown",10,"no","no",0,8,1,"drive by myself","no","no"
"80",80,"Female",20,"Junior",9,90,3,"brown",30,"yes","no",1,10,10,"walk","yes","yes"
"81",81,"Female",20,"Junior",7,65,0,"black",9,"no","no",2,8,3,"walk","no","no"
"82",82,"Male",20,"Junior",4,100,0,"black",4,"no","no",5,8,6,"bicycle","no","no"
"83",83,"Female",18,"Freshman",5,85,0,"black",6,"no","yes",1,8,12,"walk","no","no"
"84",84,"Female",19,"Sophomore",5,60,1,"brown",25,"yes","yes",1,9,7,"walk","yes","no"
"85",85,"Female",18,"Freshman",5,75,1,"black",12,"yes","yes",1,10,5,"walk","yes","yes"
"86",86,"Female",18,"Freshman",6,95,0,"brown",10,"no","yes",1,10,10,"walk","no","no"
"87",87,"Female",18,"Freshman",10,80,4,"black",15,"no","yes",1,10,2,"walk","no","no"
"88",88,"Female",18,"Freshman",5,80,0,"black",20,"no","yes",1,5,7,"walk","no","yes"
"89",89,"Female",20,"Junior",5,80,6,"brown",50,"no","yes",1,10,1,"walk","yes","no"
"90",90,"Female",19,"Freshman",6,85,0,"brown",12,"no","yes",1,8,9,"walk","no","no"
"91",91,"Female",20,"Sophomore",5,80,2,"brown",22,"no","no",1,9,3,"walk","no","yes"
"92",92,"Female",18,"Sophomore",5,80,0,"black",7,"no","no",0,8,8,"get dropped off","no","yes"
"93",93,"Female",19,"Sophomore",4,70,8,"red",20,"yes","no",5,8,1,"walk","yes","no"
"94",94,"Female",19,"Sophomore",5,80,0,"brown",17,"no","yes",1,9,4,"walk","no","yes"
"95",95,"Female",18,"Freshman",6,80,5,"blond",20,"yes","no",1,9,11,"walk","yes","no"
"96",96,"Male",19,"Sophomore",5,75,1,"brown",12,"yes","no",3,9,12,"walk","no","no"
"97",97,"Female",20,"Sophomore",5,50,1,"red",15,"no","no",1,5,12,"walk","yes","no"
"98",98,"Female",21,"Senior",5,90,1,"black",40,"no","no",3,10,10,"bus","no","no"
"99",99,"Female",20,"Junior",6,75,0,"brown",12,"no","no",3,6,11,"bus","no","no"
"100",100,"Female",19,"Sophomore",6,50,1,"brown",1,"yes","yes",1,5,12,"walk","yes","yes"
"101",101,"Female",18,"Freshman",8,95,5,"brown",23,"yes","no",2,9,4,"walk","yes","yes"
"102",102,"Female",18,"Freshman",8,70,1,"black",30,"no","no",1,9,10,"walk","no","no"
"103",103,"Female",20,"Junior",5,60,0,"brown",25,"no","no",2,9,4,"bus","yes","no"
"104",104,"Female",17,"Freshman",4,50,0,"black",9,"no","yes",1,7,12,"walk","no","no"
"105",105,"Female",18,"Freshman",9,90,0,"black",12,"no","yes",1,10,3,"walk","no","no"
"106",106,"Male",20,"Sophomore",7,50,1,"brown",5,"yes","no",1,9,8,"walk","yes","no"
"107",107,"Female",20,"Sophomore",8,90,0,"blond",30,"yes","no",3,10,9,"walk","yes","no"
"108",108,"Female",19,"Sophomore",8,80,7,"brown",13,"yes","no",7,10,3,"walk","yes","no"
"109",109,"Female",19,"Sophomore",6,65,0,"black",20,"no","no",4,8,4,"walk","no","no"
"110",110,"Female",20,"Junior",7,85,15,"blond",45,"no","no",2,9,8,"bicycle","yes","yes"
"111",111,"Female",18,"Freshman",4,70,0,"black",7,"no","yes",1,2,3,"walk","no","no"
"112",112,"Female",18,"Freshman",7,90,0,"red",15,"no","yes",1,9,5,"walk","yes","no"
"113",113,"Female",21,"Sophomore",7,80,2,"brown",20,"no","no",1,7,6,"drive by myself","yes","no"
"114",114,"Female",19,"Freshman",5,95,2,"red",25,"yes","no",1,10,6,"walk","no","no"
"115",115,"Female",18,"Freshman",5,95,1,"black",5,"no","yes",1,9,12,"walk","no","no"
"116",116,"Male",20,"Sophomore",6,48,1,"blond",50,"no","no",1,10,7,"walk","yes","no"
"117",117,"Female",19,"Freshman",6,80,2,"brown",25,"no","yes",3,10,9,"walk","no","no"
"118",118,"Female",18,"Freshman",6,80,1,"brown",12,"no","yes",1,8,10,"walk","no","yes"
"119",119,"Female",29,"Sophomore",4,80,0,"black",15,"no","no",0,10,9,"drive by myself","yes","no"
"120",120,"Female",18,"Freshman",5,98,2,"brown",30,"no","no",2,8,2,"walk","yes","no"
"121",121,"Female",18,"Freshman",3,87,1,"brown",10,"no","yes",1,6,11,"walk","no","no"
"122",122,"Female",19,"Freshman",9,90,0,"brown",25,"no","yes",1,9,9,"walk","yes","no"
"123",123,"Female",18,"Freshman",8,90,2,"brown",12,"no","yes",1,9,4,"walk","no","yes"
"124",124,"Female",18,"Freshman",4,75,1,"blond",10,"no","yes",1,10,5,"walk","yes","no"
"125",125,"Female",17,"Freshman",5,60,10,"blond",8,"no","no",1,8,12,"walk","yes","yes"
"126",126,"Female",18,"Freshman",6,75,1,"black",8,"no","yes",1,8,6,"walk","no","yes"
"127",127,"Male",18,"Freshman",6,85,0,"black",8,"no","no",0,8,7,"drive by myself","yes","no"
"128",128,"Male",20,"Sophomore",6,70,0,"black",8,"no","no",0,9,8,"drive by myself","yes","yes"
"129",129,"Female",20,"Sophomore",7,80,2,"brown",20,"yes","yes",1,8,9,"walk","yes","no"
"130",130,"Female",20,"Sophomore",5,85,0,"blond",14,"yes","no",3,9,10,"walk","yes","no"
"131",131,"Female",18,"Freshman",6,75,0,"red",20,"no","yes",1,9,1,"walk","no","yes"
"132",132,"Female",18,"Freshman",6,60,0,"black",25,"no","yes",1,7,12,"walk","no","no"
"133",133,"Female",23,"Other",4,67,2,"blond",15,"no","no",0,7,7,"bicycle","yes","no"
"134",134,"Female",18,"Freshman",9,99,3,"blond",15,"yes","no",2,10,11,"walk","yes","no"
"135",135,"Female",19,"Sophomore",8,85,2,"brown",10,"no","no",2,10,2,"walk","yes","no"
"136",136,"Female",18,"Freshman",7,75,2,"brown",25,"yes","no",1,9,11,"walk","yes","no"
"137",137,"Female",18,"Freshman",5,95,1,"black",20,"no","yes",1,7,8,"walk","no","no"
"138",138,"Female",19,"Sophomore",8,95,3,"blond",200,"yes","no",1,9,6,"walk","yes","no"
"139",139,"Male",20,"Sophomore",8,60,0,"brown",7,"yes","no",3,8,3,"walk","yes","no"
"140",140,"Female",19,"Sophomore",6,97,3,"black",15,"no","no",2,9,10,"walk","yes","no"
"141",141,"Female",20,"Junior",8,60,6,"brown",30,"no","no",1,10,10,"walk","yes","no"
"142",142,"Female",18,"Freshman",6,70,0,"brown",20,"no","yes",1,8,2,"walk","no","yes"
"143",143,"Male",23,"Sophomore",5,80,0,"black",3,"no","no",2,10,7,"walk","yes","no"
"144",144,"Female",18,"Freshman",8,80,0,"black",9,"yes","yes",1,9,5,"walk","no","no"
"145",145,"Female",19,"Sophomore",7,70,8,"blond",25,"yes","no",0,7,6,"bus","yes","no"
"146",146,"Female",19,"Sophomore",8,50,4,"brown",25,"no","yes",1,10,9,"walk","no","no"
"147",147,"Female",18,"Freshman",5,75,1,"black",20,"no","yes",1,10,8,"walk","no","no"
"148",148,"Female",19,"Sophomore",6,90,2,"blond",20,"yes","no",0,9,12,"bus","yes","no"
"149",149,"Male",21,"Sophomore",5,90,0,"black",7,"no","yes",1,10,9,"walk","no","yes"
"150",150,"Female",18,"Freshman",5,90,0,"brown",100,"no","no",1,7,11,"walk","no","no"
"151",151,"Female",22,"Sophomore",4,95,1,"brown",8,"no","no",4,10,9,"drive by myself","yes","no"
"152",152,"Female",19,"Sophomore",5,80,0,"black",10,"no","no",3,5,12,"walk","no","no"
"153",153,"Female",18,"Sophomore",7,80,0,"brown",20,"no","no",3,7,4,"bus","yes","no"
"154",154,"Female",18,"Freshman",7,87,3,"brown",15,"no","yes",1,8,3,"walk","no","no"
"155",155,"Female",18,"Freshman",5,95,2,"blond",30,"yes","no",1,8,7,"walk","yes","no"
"156",156,"Male",21,"Junior",5,90,0,"black",5,"no","no",3,8,8,"walk","yes","no"
"157",157,"Female",19,"Sophomore",5,70,0,"black",10,"no","no",3,9,4,"bus","yes","yes"
"158",158,"Female",19,"Freshman",6,85,0,"black",10,"no","yes",1,8,10,"walk","no","no"
"159",159,"Female",18,"Freshman",7,90,3,"blond",20,"yes","no",3,8,8,"walk","no","no"
"160",160,"Female",18,"Freshman",9,85,2,"brown",17,"no","yes",1,8,7,"walk","no","no"
"161",161,"Female",18,"Freshman",5,85,25,"brown",20,"yes","no",3,10,3,"walk","no","no"
"162",162,"Female",18,"Freshman",9,90,1,"blond",4,"no","yes",1,10,12,"walk","no","yes"
"163",163,"Female",19,"Sophomore",8,90,3,"blond",8,"no","no",0,9,6,"walk","yes","no"
"164",164,"Female",18,"Freshman",5,84,3,"brown",17,"yes","yes",1,7,1,"walk","yes","no"
"165",165,"Male",18,"Freshman",4,90,3,"black",5,"yes","no",1,9,1,"walk","yes","no"
"166",166,"Female",19,"Sophomore",6,60,2,"brown",6,"no","no",3,7,11,"bus","yes","no"
"167",167,"Male",20,"Junior",4,90,1,"black",15,"yes","no",4,8,1,"bus","yes","yes"
"168",168,"Female",20,"Junior",6,80,0,"black",15,"no","yes",1,9,10,"walk","no","no"
"169",169,"Female",18,"Freshman",6,25,0,"brown",7,"no","yes",1,7,12,"walk","no","no"
"170",170,"Female",18,"Freshman",8,45,0,"brown",10,"no","yes",1,7,10,"walk","yes","no"
"171",171,"Female",19,"Sophomore",6,90,1,"brown",17,"no","no",0,9,6,"walk","yes","yes"
"172",172,"Female",20,"Junior",7,80,2,"black",6,"no","no",1,7,2,"walk","no","no"
"173",173,"Female",20,"Junior",7,80,4,"brown",20,"no","no",3,6,11,"bus","yes","no"
"174",174,"Female",18,"Freshman",7,97,0,"brown",20,"no","no",3,10,4,"walk","yes","no"
"175",175,"Female",18,"Freshman",7,89,0,"brown",20,"no","yes",1,10,6,"walk","yes","no"
"176",176,"Female",18,"Freshman",7,90,1,"blond",10,"no","yes",1,10,11,"walk","yes","no"
"177",177,"Female",19,"Sophomore",6,75,3,"blond",28,"yes","no",1,7,5,"bus","no","no"
"178",178,"Female",18,"Freshman",5,95,1,"blond",55,"no","yes",1,9,12,"walk","no","no"
"179",179,"Female",18,"Freshman",7,65,5,"brown",30,"no","yes",1,9,12,"walk","yes","no"
"180",180,"Female",20,"Junior",4,90,10,"brown",20,"yes","no",3,9,2,"walk","yes","no"
"181",181,"Female",19,"Sophomore",6,60,0,"blond",10,"no","no",3,10,11,"get dropped off","yes","no"
"182",182,"Female",18,"Freshman",6,80,0,"brown",16,"no","no",2,5,4,"bus","no","no"
"183",183,"Female",18,"Freshman",3,90,1,"brown",12,"no","yes",1,10,8,"walk","no","no"
"184",184,"Female",20,"Junior",6,47,1,"black",12,"yes","no",2,10,3,"bus","no","no"
"185",185,"Female",18,"Freshman",7,80,1,"brown",20,"no","yes",1,9,12,"walk","no","no"
"186",186,"Female",19,"Freshman",6,99,1,"brown",25,"no","no",0,10,9,"drive by myself","yes","no"
"187",187,"Male",20,"Junior",4,85,2,"brown",10,"no","yes",0,10,5,"walk","yes","yes"
"188",188,"Female",22,"Other",7,70,0,"black",24,"no","no",5,9,4,"bus","yes","no"
"189",189,"Female",19,"Sophomore",8,75,3,"brown",20,"yes","no",3,10,5,"walk","yes","yes"
"190",190,"Female",19,"Sophomore",5,83,0,"black",6,"no","yes",1,7,6,"walk","no","no"
"191",191,"Female",19,"Sophomore",4,95,0,"black",7,"no","no",3,8,1,"drive by myself","yes","no"
"192",192,"Female",20,"Junior",4,80,0,"brown",30,"no","no",3,8,5,"bus","yes","no"
"193",193,"Female",20,"Sophomore",6,75,3,"brown",12,"no","no",2,10,7,"walk","no","no"
"194",194,"Female",19,"Sophomore",7,70,5,"brown",10,"no","no",1,10,1,"walk","yes","no"
"195",195,"Female",19,"Sophomore",5,90,0,"brown",15,"no","no",1,10,1,"bus","no","yes"
"196",196,"Female",21,"Senior",7,80,10,"brown",20,"no","no",3,10,11,"walk","no","no"
"197",197,"Female",18,"Freshman",5,70,0,"brown",12,"no","yes",1,8,2,"walk","yes","no"
"198",198,"Female",18,"Freshman",9,70,0,"brown",10,"no","yes",1,8,7,"drive by myself","yes","no"
"199",199,"Female",17,"Freshman",7,73,1,"blond",10,"no","yes",1,8,12,"walk","yes","yes"
"200",200,"Female",21,"Senior",7,80,5,"blond",15,"no","no",0,9,7,"walk","yes","no"
"201",201,"Female",20,"Sophomore",7,85,11,"brown",30,"no","no",1,9,6,"bicycle","yes","no"
"202",202,"Male",18,"Freshman",6,90,2,"brown",4,"no","yes",3,8,11,"walk","no","no"
"203",203,"Female",18,"Freshman",5,75,1,"brown",10,"yes","no",2,9,12,"walk","yes","no"
"204",204,"Female",20,"Junior",6,85,2,"brown",60,"no","yes",0,8,6,"walk","yes","no"
"205",205,"Female",20,"Junior",7,50,1,"black",7,"no","no",3,6,9,"walk","no","no"
"206",206,"Female",18,"Freshman",6,75,8,"brown",40,"no","no",0,9,5,"walk","yes","no"
"207",207,"Female",20,"Junior",3,75,0,"brown",10,"no","no",0,8,8,"drive by myself","yes","no"
"208",208,"Female",18,"Freshman",7,84,5,"brown",14,"no","yes",1,10,2,"walk","no","no"
"209",209,"Female",18,"Freshman",5,40,0,"brown",9,"no","yes",1,8,8,"walk","no","no"
"210",210,"Female",18,"Freshman",5,85,1,"black",25,"no","yes",1,9,7,"walk","no","no"
"211",211,"Female",18,"Freshman",9,85,5,"brown",20,"no","no",3,9,3,"walk","yes","yes"
"212",212,"Male",18,"Freshman",3,75,5,"black",6,"no","yes",1,7,7,"walk","yes","no"
"213",213,"Female",31,"Junior",9,99,10,"brown",15,"no","no",1,10,6,"bus","yes","no"
"214",214,"Female",18,"Freshman",7,90,0,"blond",30,"yes","yes",1,10,8,"drive by myself","yes","no"
"215",215,"Female",19,"Sophomore",5,50,1,"brown",30,"no","no",1,7,1,"bus","yes","yes"
"216",216,"Female",18,"Freshman",7,58,0,"brown",12,"no","yes",1,7,7,"walk","no","yes"
"217",217,"Male",28,"Senior",5,90,0,"red",14,"no","no",0,10,11,"walk","yes","yes"
"218",218,"Female",21,"Junior",2,85,2,"black",7,"no","no",0,8,3,"bus","yes","no"
"219",219,"Female",18,"Freshman",7,70,2,"blond",10,"yes","yes",1,10,4,"walk","no","yes"
"220",220,"Male",22,"Junior",4,89,0,"brown",2,"no","no",2,8,8,"walk","no","no"
"221",221,"Female",19,"Sophomore",7,80,1,"brown",16,"yes","no",2,4,12,"walk","yes","no"
"222",222,"Male",18,"Freshman",7,80,2,"brown",5,"no","yes",1,10,7,"walk","yes","no"
"223",223,"Female",19,"Freshman",4,70,2,"brown",30,"no","no",3,6,9,"walk","no","no"
"224",224,"Female",18,"Freshman",5,79,0,"brown",6,"no","no",1,10,1,"bus","yes","no"
"225",225,"Female",20,"Freshman",5,60,0,"red",16,"no","no",0,9,10,"bus","yes","no"
"226",226,"Male",33,"Sophomore",7,100,1,"blond",46,"no","yes",5,10,10,"bicycle","no","no"
"227",227,"Female",18,"Freshman",5,90,9,"brown",30,"yes","no",1,10,8,"walk","yes","no"
"228",228,"Female",19,"Sophomore",7,85,0,"black",12,"no","no",3,10,12,"walk","no","yes"
"229",229,"Female",19,"Sophomore",9,75,0,"brown",22,"no","no",1,8,11,"drive by myself","yes","no"
"230",230,"Female",19,"Freshman",9,60,1,"black",15,"no","yes",1,8,6,"walk","yes","no"
"231",231,"Male",23,"Senior",6,50,3,"black",5,"no","no",1,10,9,"bus","yes","no"
"232",232,"Female",25,"Junior",8,30,0,"black",6,"no","yes",0,7,11,"walk","no","no"
"233",233,"Male",18,"Freshman",3,80,5,"black",7,"yes","yes",1,10,8,"walk","no","no"
"234",234,"Female",19,"Freshman",8,70,3,"brown",15,"no","no",1,8,9,"walk","no","no"
"235",235,"Female",20,"Junior",5,90,2,"brown",20,"no","no",1,9,11,"walk","yes","no"
"236",236,"Female",19,"Sophomore",8,90,1,"black",20,"no","yes",1,8,12,"walk","no","no"
"237",237,"Female",18,"Freshman",5,80,0,"brown",16,"no","yes",1,7,2,"bicycle","no","no"
"238",238,"Female",18,"Freshman",6,50,0,"brown",6,"no","yes",1,9,12,"walk","no","no"
"239",239,"Female",20,"Junior",6,90,0,"black",15,"no","no",3,8,8,"bus","no","no"
"240",240,"Female",20,"Junior",7,80,8,"brown",20,"no","no",1,8,4,"bus","yes","no"
"241",241,"Female",21,"Senior",4,50,4,"brown",30,"no","no",1,8,7,"bicycle","no","no"
"242",242,"Female",18,"Freshman",6,90,3,"blond",30,"no","no",3,9,5,"walk","yes","no"
"243",243,"Female",19,"Sophomore",8,75,0,"black",30,"no","no",3,7,5,"bus","yes","no"
"244",244,"Female",19,"Sophomore",4,90,5,"blond",8,"yes","no",7,10,5,"walk","no","yes"
"245",245,"Female",18,"Freshman",5,92,22,"blond",13,"no","yes",1,9,3,"walk","yes","yes"
"246",246,"Female",20,"Junior",6,85,7,"brown",20,"no","no",4,10,6,"bus","yes","yes"
"247",247,"Female",18,"Freshman",8,85,0,"brown",80,"yes","no",1,10,6,"walk","yes","no"
"248",248,"Female",18,"Freshman",7,90,7,"brown",15,"no","yes",1,10,1,"walk","yes","no"
"249",249,"Female",18,"Freshman",7,50,0,"brown",20,"no","no",3,7,3,"walk","yes","no"
"250",250,"Female",18,"Freshman",7,70,0,"brown",20,"no","yes",1,10,3,"walk","yes","no"
"251",251,"Female",20,"Sophomore",8,70,0,"brown",17,"no","no",3,5,3,"bus","no","no"
"252",252,"Female",18,"Freshman",6,85,6,"brown",10,"no","no",3,8,3,"walk","yes","yes"
"253",253,"Female",18,"Freshman",5,75,1,"blond",15,"no","no",3,9,12,"walk","yes","no"
"254",254,"Female",18,"Freshman",8,80,0,"brown",30,"no","yes",1,7,7,"walk","no","no"
"255",255,"Female",18,"Freshman",6,60,3,"brown",20,"no","yes",0,9,8,"walk","no","no"
"256",256,"Female",20,"Junior",7,95,1,"brown",15,"no","no",0,8,11,"drive by myself","yes","no"
"257",257,"Male",18,"Sophomore",6,80,6,"brown",12,"no","no",0,10,5,"bicycle","no","no"
"258",258,"Female",18,"Freshman",6,80,0,"brown",20,"no","yes",1,7,11,"walk","no","yes"
"259",259,"Male",19,"Sophomore",6,80,0,"black",6,"no","no",4,10,9,"get dropped off","no","no"
"260",260,"Male",22,"Junior",4,40,15,"brown",4,"no","yes",1,7,9,"bicycle","no","no"
"261",261,"Female",18,"Freshman",4,95,1,"brown",6,"no","yes",1,9,10,"walk","no","yes"
"262",262,"Female",22,"Junior",6,91,7,"red",27,"no","no",0,8,11,"bus","yes","no"
"263",263,"Female",19,"Sophomore",9,70,0,"brown",20,"no","no",3,10,1,"walk","yes","no"
"264",264,"Female",17,"Freshman",5,60,3,"black",19,"no","no",1,9,10,"walk","no","no"
"265",265,"Female",18,"Freshman",5,90,0,"black",10,"no","yes",1,8,8,"walk","no","no"
"266",266,"Female",19,"Sophomore",5,90,0,"black",50,"no","yes",3,9,12,"walk","no","no"
"267",267,"Female",19,"Sophomore",6,80,3,"blond",15,"no","no",3,7,1,"bus","yes","no"
"268",268,"Male",20,"Junior",4,70,2,"brown",8,"yes","no",3,8,11,"walk","yes","yes"
"269",269,"Female",18,"Freshman",5,90,0,"blond",30,"no","no",1,10,8,"walk","yes","yes"
"270",270,"Female",19,"Sophomore",6,80,0,"brown",36,"no","no",1,9,5,"drive by myself","yes","yes"
"271",271,"Male",18,"Freshman",5,85,1,"black",7,"no","yes",1,9,2,"bicycle","no","no"
"272",272,"Female",20,"Freshman",6,85,6,"brown",7,"no","no",3,8,1,"bus","yes","no"
"273",273,"Female",19,"Sophomore",7,85,0,"blond",15,"no","no",1,8,10,"walk","yes","no"
"274",274,"Male",18,"Freshman",6,80,0,"black",5,"no","yes",1,10,11,"walk","no","yes"
"275",275,"Female",20,"Sophomore",6,75,1,"brown",20,"no","no",1,10,9,"drive by myself","yes","no"
